,counter,phi,theta,psi,accel_x,accel_y,accel_z,gps_x,gps_y,gps_z,height,ultrasound,opticflow_vx,opticflow_vy
1109,1109,-322,229,-2573,512,-145,-306,392433323,30036041,500219735,1.042969,35900,15.334673,65.675262
1110,1110,-322,229,-2573,512,-145,-306,392433323,30036041,500219735,1.042969,35900,15.334673,65.675262
1111,1111,-322,229,-2573,512,-145,-306,392433323,30036041,500219735,1.042969,35900,15.334673,65.675262
1112,1112,-312,269,-2544,25,-130,-111,392433321,30036040,500219737,1.042969,3138,6.185921,50.245403
1113,1113,-312,269,-2544,25,-130,-111,392433321,30036040,500219737,1.042969,3138,6.185921,50.245403
1114,1114,-312,269,-2544,25,-130,-111,392433321,30036040,500219737,1.042969,3138,6.185921,50.245403
1115,1115,-275,315,-2518,-97,169,-105,392433319,30036038,500219739,1.046875,35928,49.772285,45.94062
1116,1116,-275,315,-2518,-97,169,-105,392433319,30036038,500219739,1.046875,35928,49.772285,45.94062
1117,1117,-275,315,-2518,-97,169,-105,392433319,30036038,500219739,1.046875,35928,49.772285,45.94062
1118,1118,-251,367,-2516,-319,429,308,392433317,30036036,500219741,1.054688,3172,0.0,101.692421
1119,1119,-251,367,-2516,-319,429,308,392433317,30036036,500219741,1.054688,3172,0.0,101.692421
1120,1120,-251,367,-2516,-319,429,308,392433317,30036036,500219741,1.054688,3172,0.0,101.692421
1121,1121,-253,376,-2538,-346,331,74,392433315,30036034,500219743,1.054688,35953,15.793551,90.964859
1122,1122,-253,376,-2538,-346,331,74,392433315,30036034,500219743,1.054688,35953,15.793551,90.964859
1123,1123,-253,376,-2538,-346,331,74,392433315,30036034,500219743,1.054688,35953,15.793551,90.964859
1124,1124,-290,382,-2557,-230,131,-24,392433313,30036032,500219744,1.054688,3187,0.0,84.003975
1125,1125,-290,382,-2557,-230,131,-24,392433313,30036032,500219744,1.054688,3187,0.0,84.003975
1126,1126,-290,382,-2557,-230,131,-24,392433313,30036032,500219744,1.054688,3187,0.0,84.003975
1127,1127,-300,378,-2552,-84,76,-199,392433312,30036031,500219746,1.054688,35953,0.0,74.637833
1128,1128,-300,378,-2552,-84,76,-199,392433312,30036031,500219746,1.054688,35953,0.0,74.637833
1129,1129,-300,378,-2552,-84,76,-199,392433312,30036031,500219746,1.054688,35953,0.0,74.637833
1130,1130,-282,374,-2496,-23,169,-358,392433310,30036029,500219747,1.050781,3180,18.919384,83.821915
1131,1131,-282,374,-2496,-23,169,-358,392433310,30036029,500219747,1.050781,3180,18.919384,83.821915
1132,1132,-282,374,-2496,-23,169,-358,392433310,30036029,500219747,1.050781,3180,18.919384,83.821915
1133,1133,-254,391,-2407,-142,-7,125,392433308,30036028,500219749,1.050781,35951,34.670471,81.458122
1134,1134,-254,391,-2407,-142,-7,125,392433308,30036028,500219749,1.050781,35951,34.670471,81.458122
1135,1135,-254,391,-2407,-142,-7,125,392433308,30036028,500219749,1.050781,35951,34.670471,81.458122
1136,1136,-248,412,-2351,-121,-9,40,392433306,30036026,500219751,1.054688,3186,-6.290024,18.578541
1137,1137,-248,412,-2351,-121,-9,40,392433306,30036026,500219751,1.054688,3186,-6.290024,18.578541
1138,1138,-248,412,-2351,-121,-9,40,392433306,30036026,500219751,1.054688,3186,-6.290024,18.578541
1139,1139,-260,405,-2298,156,-38,8,392433304,30036024,500219752,1.050781,3107,15.829945,71.595345
1140,1140,-260,405,-2298,156,-38,8,392433304,30036024,500219752,1.050781,3107,15.829945,71.595345
1141,1141,-260,405,-2298,156,-38,8,392433304,30036024,500219752,1.050781,3107,15.829945,71.595345
1142,1142,-272,407,-2230,450,-260,-185,392433301,30036022,500219754,1.046875,2922,15.991712,90.039719
1143,1143,-272,407,-2230,450,-260,-185,392433301,30036022,500219754,1.046875,2922,15.991712,90.039719
1144,1144,-272,407,-2230,450,-260,-185,392433301,30036022,500219754,1.046875,2922,15.991712,90.039719
1145,1145,-311,459,-2190,-171,68,-367,392433299,30036020,500219755,1.042969,35865,-18.713917,-46.061996
1146,1146,-311,459,-2190,-171,68,-367,392433299,30036020,500219755,1.042969,35865,-18.713917,-46.061996
1147,1147,-311,459,-2190,-171,68,-367,392433299,30036020,500219755,1.042969,35865,-18.713917,-46.061996
1148,1148,-309,440,-2119,-203,-91,-356,392433296,30036017,500219758,1.046875,3154,13.665598,-54.939098
1149,1149,-309,440,-2119,-203,-91,-356,392433296,30036017,500219758,1.046875,3154,13.665598,-54.939098
1150,1150,-309,440,-2119,-203,-91,-356,392433296,30036017,500219758,1.046875,3154,13.665598,-54.939098
1151,1151,-275,434,-2050,-118,85,109,392433294,30036014,500219760,1.050781,35952,-4.162302,35.345219
1152,1152,-275,434,-2050,-118,85,109,392433294,30036014,500219760,1.050781,35952,-4.162302,35.345219
